Id,Nombre,Seleccion,Posicion,Minutos,Goles,Asistencias,Tarjetas,Partidos
1,Mateo Lopez,Guatemala,DEL,480,6,2,1,6
2,Carlos Mendez,Mexico,MED,510,2,7,2,6
3,Lucas Silva,Brasil,DEL,525,8,3,1,6
4,Diego Torres,Argentina,DEF,540,1,1,3,6
5,Andres Ruiz,Colombia,MED,450,3,5,2,5
6,Pedro Santos,Brasil,POR,540,0,0,0,6
7,Javier Morales,Mexico,DEL,390,5,2,2,5
8,Nicolas Perez,Argentina,MED,505,4,6,1,6
9,Sebastian Diaz,Colombia,DEL,360,7,1,3,4
10,Fernando Castillo,Guatemala,DEF,420,1,3,4,5
11,Rafael Lima,Brasil,MED,470,2,4,2,5
12,Tomas Gomez,Mexico,DEF,495,1,2,3,6
13,Luis Fernandez,Argentina,DEL,515,6,4,1,6
14,Daniel Rojas,Colombia,POR,540,0,1,1,6
15,Adrian Morales,Guatemala,MED,430,3,5,2,5
